Latitude,Longitude,Gender,SeniorCitizen,Partner,Dependents,TenureMonths,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,AvgMonthlySpend,NumServices,ChargesPerService,ChurnValue
34.424926,-117.184503,0,0,0,0,35,0,0,DSL,0,0,1,0,1,1,Month-to-month,0,Electronic check,49.2,1701.65,48.61857142857143,3,12.3,0
39.597975,-122.032248,0,0,1,1,15,1,0,Fiber optic,1,0,0,0,0,0,Month-to-month,0,Mailed check,75.1,1151.55,76.77,2,25.03333333333333,0
40.336392,-122.448533,0,0,1,1,13,0,0,DSL,1,1,0,1,0,0,Two year,0,Mailed check,40.55,590.35,45.41153846153846,3,10.1375,0
33.752591,-117.993661,1,0,1,0,26,1,0,DSL,0,1,1,0,1,1,Two year,1,Credit card (automatic),73.5,1905.7,73.29615384615384,5,12.25,0
33.734933,-117.044145,0,0,1,1,1,1,0,DSL,0,0,0,0,0,0,Month-to-month,0,Electronic check,44.55,44.55,44.55,1,22.275,0
37.792489,-122.244314,0,0,0,1,66,1,0,DSL,0,1,1,1,1,1,Two year,1,Credit card (automatic),79.5,5196.1,78.72878787878788,6,11.357142857142858,0
37.717196,-122.159338,1,0,0,0,1,1,0,0,0,0,0,0,0,0,Month-to-month,0,Credit card (automatic),19.8,19.8,19.8,1,9.9,0
34.130861,-118.68346,1,0,1,0,40,1,1,DSL,0,1,0,0,0,0,Month-to-month,0,Credit card (automatic),56.6,2379.1,59.4775,3,14.15,0
36.696759,-119.024051,1,0,1,0,65,1,0,DSL,0,0,0,1,1,0,Two year,1,Credit card (automatic),59.8,3808.2,58.58769230769231,3,14.95,0
33.833686,-117.513063,1,0,0,0,60,1,1,DSL,0,0,1,1,1,1,One year,0,Credit card (automatic),80.55,4847.05,80.78416666666666,6,11.507142857142856,0
38.148862,-121.737696,1,1,0,0,5,1,0,DSL,1,1,0,1,0,0,Month-to-month,0,Credit card (automatic),59.9,287.85,57.57000000000001,4,11.98,0
